SearchToken,Occurances
grow,80
caught,79
follow,78
ones,78
twenty,78
paper,78
longer,78
officer,78
serious,78
human,91
act,77
group,77
seven,77
bill,77
wiener,77
shitty,77
quick,77
space,82
beautiful,77
fact,76
question,76
rich,78
killing,76
anymore,76
fourth,75
chicken,75
build,75
butt,75
quiet,75
teach,77
decided,75
amazing,74
vote,74
business,74
turd,74
admit,74
feeling,75
faith,74
step,73
club,74
asking,73
pee,73
putting,73
mine,76
store,72
bus,73
mountain,72
native,73
seriously,73
scared,72
bigger,76
somewhere,72
asshole,71
fish,71
sell,71
dance,73
mackey,71
americans,71
television,71
awesome,73
easy,71
pass,70
honey,73
friday,70
raise,70
alone,70
likes,70
blow,74
wake,70
light,70
return,69
alien,69
couple,69
pictures,69
spend,69
sleep,68
shows,69
turned,72
sea,68
planet,68
kiss,68
deep,81
explain,67
burn,67
middle,67
wrote,67
crazy,68
normal,67
trouble,67
anyway,68
died,66
muhammad,66
late,67
cause,73
bear,68
magic,67
dream,65
race,65
jews,67
simply,66
hair,70
sharon,65
lie,65
wear,65
destroy,65
huge,72
prove,64
sucks,64
mall,64
billy,64
joke,64
rock,66
comedy,65
meeting,69
third,64
secret,63
worth,65
fly,63
ahhh,98
star,64
weeks,64
hurry,63
protect,63
games,63
words,63
history,63
nine,63
top,63
folks,62
seat,62
homeless,63
principal,63
minutes,62
smart,63
yo,62
later,68
trapped,62
ned,62
dear,62
agree,61
ball,62
paid,61
public,61
dog,63
saved,61
reach,61
trust,61
lady,64
jewish,60
episode,60
clear,61
wearing,60
sense,60
ohhh,80
drugs,60
chris,60
united,60
moved,60
wonder,60
horrible,59
eye,59
kinda,59
himself,59
flute,59
spirit,60
national,58
loves,58
heaven,59
uncle,58
perfect,58
student,58
aww,107
present,58
upon,58
during,58
lying,58
sue,58
saddam,57
building,58
ran,57
cows,57
robot,57
luck,58
ohh,57
changed,57
greatest,57
favorite,56
record,57
given,56
pants,56
moment,56
born,57
birthday,56
halloween,56
security,55
support,55
unless,55
angry,55
fighting,56
jersey,55
either,55
santa,55
terrorists,55
fall,54
tough,54
enjoy,54
lunch,55
respect,54
spent,54
crack,54
computer,54
talent,54
mexican,54
cancer,54
talked,54
felt,55
singing,54
mommy,54
proud,54
possible,55
kept,55
costume,53
showed,53
allowed,53
swear,53
merry,53
gee,62
feels,53
ginger,53
strange,54
cash,54
built,53
football,63
weight,53
final,53
clean,53
figure,52
air,52
ground,52
holiday,52
broflovski,52
charge,52
goddammit,88
dinner,55
network,52
murder,52
rabble,52
bathroom,52
missing,53
heck,52
shelly,51
breaking,51
definitely,51
dick,51
general,51
panda,51
camp,51
won,51
box,95
older,51
brown,53
film,51
thanksgiving,51
bebe,50
grab,50
dammit,91
hankey,51
de,51
satan,51
daddy,61
ourselves,50
accept,50
choice,50
worried,50
smell,49
law,54
fast,50
none,88
several,49
looked,49
handle,49
share,51
pip,49
owe,49
ugly,49
less,50
grade,49
land,49
honor,48
whoever,48
ih,48
egg,49
gold,48
trapper,48
worse,48
whitney,48
form,48
wh,48
goddamned,49
peter,52
happening,48
elementary,48
straight,48
blue,53
problems,48
bought,47
babies,48
themselves,47
battle,48
turns,47
la,47
fifty,47
damned,47
jeez,49
lived,47
grounded,47
jimbo,47
months,47
towel,47
helping,47
poo,47
bar,48
saturday,47
lead,46
meant,46
milk,46
twelve,87
aids,46
shopping,47
attack,46
bringing,46
system,47
across,46
french,46
king,45
tired,45
sneak,45
leader,46
david,45
frog,45
cthulhu,45
coffee,45
trip,49
sweetie,45
soul,46
chocolate,47
oho,45
aunt,45
works,49
grandma,47
professor,45
written,45
keeps,45
skin,44
pirate,45
total,46
flag,44
test,44
ahh,44
incredible,44
relax,46
begin,44
smith,47
stopped,44
mohammad,44
allow,44
wonderful,44
stuck,44
customer,44
forever,44
silly,44
hide,50
finish,44
bed,43
absolutely,43
sitting,44
global,44
careful,43
roll,43
mel,43
san,43
animals,44
sister,43
mark,43
jump,43
code,43
drop,43
cheesy,43
brave,43
fart,42
tape,42
goodbye,42
aliens,42
learning,42
lu,42
short,42
knock,42
movies,42
broken,46
fudge,44
suppose,42
easter,42
dirty,42
harassment,42
george,43
named,42
bucks,42
princess,58
hall,41
thirty,41
sending,41
sort,44
ooh,78
needed,42
michael,41
sports,41
reading,43
gives,41
states,42
onto,42
bottom,41
cover,41
showing,41
dare,41
ey,41
monster,42
voice,41
others,42
turkey,41
summer,64
crime,50
somehow,41
frozen,41
known,41
laugh,43
questions,41
prime,41
candy,40
list,40
screwed,40
north,40
worst,40
ooo,40
fellas,40
shop,42
level,40
cow,40
turning,40
near,40
heads,40
interested,40
main,40
difficult,40
gerald,40
fair,41
wondering,41
holding,40
members,40
apologize,41
douche,47
lied,40
fake,39
ancient,39
rip,39
passed,39
songs,39
farts,39
ugh,40
strong,40
fault,40
bye,40
fellow,39
add,39
round,39
